timestamp,MEXC_BTC/USDT_Ask,MEXC_BTC/USDT_Bid,Bybit_BTCUSDC_Ask,Bybit_BTCUSDC_Bid,Diff
2023-09-03 12:27:48,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:49,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:51,25917.03,25917.02,25917.58,25913.9,0.5500000000029104
2023-09-03 12:27:53,25917.03,25917.02,25917.61,25913.89,0.5800000000017462
2023-09-03 12:27:55,25917.03,25917.02,25917.59,25913.9,0.5600000000013097
2023-09-03 12:27:56,25917.03,25917.02,25917.58,25913.91,0.5500000000029104
2023-09-03 12:27:58,25917.03,25917.02,25917.59,25913.91,0.5600000000013097
2023-09-03 12:27:59,25917.03,25917.02,25917.59,25913.91,0.5600000000013097
2023-09-03 12:28:01,25917.03,25917.02,25917.57,25914.04,0.5400000000008731
2023-09-03 12:28:03,25917.03,25917.02,25917.57,25914.13,0.5400000000008731
2023-09-03 12:28:05,25917.03,25917.02,25917.57,25913.91,0.5400000000008731
2023-09-03 12:28:06,25917.03,25917.02,25917.57,25914.26,0.5400000000008731
2023-09-03 12:28:08,25917.03,25917.02,25917.57,25914.21,0.5400000000008731
2023-09-03 12:28:10,25917.03,25917.02,25917.57,25914.41,0.5400000000008731
2023-09-03 12:28:11,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:13,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:15,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:16,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:18,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:19,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:21,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:22,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:24,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:25,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:27,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:29,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:30,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:32,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:34,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:36,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:37,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:39,25917.03,25917.02,25917.57,25914.39,0.5400000000008731
2023-09-03 12:28:40,25917.03,25917.02,25917.58,25914.39,0.5500000000029104
2023-09-03 12:28:42,25917.03,25917.02,25917.58,25914.39,0.5500000000029104
2023-09-03 12:28:43,25917.03,25917.02,25917.58,25914.39,0.5500000000029104
